Swift Transportation Company Class A, 3.29%, 298568
C.H. Robinson Worldwide Inc., 2.87%, 66256
Landstar System Inc., 2.79%, 72111
Knight Transportation Inc., 2.74%, 170826
Macquarie Infrastructure Corporation, 2.72%, 61819
J.B. Hunt Transport Services Inc., 2.71%, 56167
Expeditors International of Washington Inc., 2.69%, 88139
Spirit Airlines Inc., 2.68%, 98751
Genesee & Wyoming Inc. Class A, 2.63%, 80215
United Parcel Service Inc. Class B, 2.63%, 42141
Trucking,33.03
Airlines,26.08
Air Freight & Logistics,20.2
Railroads,12.48
Marine,4.7
Airport Services,3.42
No Country Weight Provided